group,run,tag,x,value
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,65,0.04670026898384094
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,66,0.04678047448396683
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,67,0.046516984701156616
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,68,0.04706220328807831
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,69,0.04632483050227165
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,70,0.046368543058633804
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,71,0.046200916171073914
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,72,0.046571034938097
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,73,0.04598734527826309
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,74,0.04654020816087723
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,75,0.046249475330114365
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,76,0.045987099409103394
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,77,0.04688434675335884
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,78,0.046098459511995316
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,79,0.04608812555670738
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,80,0.04644988477230072
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,1,0.1688947081565857
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,2,0.16668328642845154
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,3,0.16616548597812653
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,4,0.16628411412239075
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,5,0.1656307876110077
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,6,0.16603592038154602
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,7,0.1661619246006012
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,8,0.16528527438640594
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,9,0.16639591753482819
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,10,0.16610676050186157
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,11,0.16568607091903687
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,12,0.1657727062702179
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,13,0.1555444896221161
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,14,0.14975716173648834
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,15,0.15030886232852936
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,16,0.14945800602436066
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,17,0.1481054574251175
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,18,0.14422500133514404
